# 10-Minute Meditation Session
# Date: 2026-01-21T18:51:32.146497
# Duration: 600 seconds
# Samples: 29629
# Type: Guided meditation
#
timestamp_ms,thermistor,piezo,ir,red
20,1896,41,208538,207671
40,1901,189,208528,207660
60,1912,191,208483,207638
80,1891,171,208497,207616
100,1899,159,208532,207657
120,1897,159,208561,207680
140,1895,140,208596,207675
160,1884,152,208596,207676
180,1876,135,208550,207636
200,1874,133,208477,207606
220,1880,119,208369,207572
240,1872,123,208327,207560
260,1871,110,208314,207557
280,1885,115,208320,207565
300,1873,90,208371,207602
320,1879,101,208389,207590
340,1849,80,208401,207570
360,1867,95,208423,207596
380,1851,88,208472,207624
404,1843,203,208466,207626
424,1843,185,208529,207615
444,1849,207,208544,207629
464,1839,187,208512,207621
484,1827,154,208539,207625
504,1825,167,208551,207623
524,1831,168,208540,207582
544,1880,147,208534,207613
564,1823,151,208521,207605
584,1821,124,208567,207616
604,1807,119,208632,207640
624,1809,131,208628,207629
644,1803,104,208625,207618
664,1796,112,208612,207624
684,1786,112,208629,207606
704,1803,95,208618,207604
724,1787,104,208647,207622
744,1780,95,208711,207662
764,1785,83,208739,207625
788,1770,203,208734,207657
808,1769,200,208738,207657
828,1773,183,208766,207655
848,1773,185,208771,207645
868,1762,193,208748,207637
888,1767,156,208754,207629
908,1764,167,208739,207623
928,1763,147,208757,207628
948,1749,159,208796,207627
968,1759,145,208757,207596
988,1751,132,208664,207540
1008,1749,143,208533,207483
1028,1744,128,208429,207435
1048,1743,127,208357,207392
1068,1747,100,208329,207404
1088,1743,100,208301,207367
1108,1738,86,208283,207342
1128,1749,83,208262,207332
1148,1757,103,208231,207302
1168,1743,86,208236,207287
1192,1738,200,208239,207295
1212,1740,208,208251,207294
1232,1738,208,208330,207338
1252,1747,179,208363,207364
1272,1751,159,208441,207374
1292,1738,165,208482,207385
1312,1752,160,208469,207384
1332,1757,139,208523,207413
1352,1738,159,208541,207435
1372,1736,128,208573,207436
1392,1751,120,208626,207480
1412,1755,116,208695,207518
1432,1749,103,208752,207540
1452,1747,119,208783,207555
1472,1751,96,208827,207570
1492,1738,92,208864,207611
1512,1744,96,208902,207627
1532,1745,79,208943,207641
1552,1734,80,208980,207657
1572,1737,91,209008,207674
1596,1732,210,209053,207717
1616,1731,191,209104,207729
1636,1751,191,209149,207755
1656,1740,185,209133,207737
1676,1741,154,209175,207771
1696,1725,160,209213,207793
1716,1728,143,209288,207841
1736,1718,136,209368,207858
1756,1724,143,209354,207879
1776,1743,127,209412,207896
1796,1739,127,209479,207965
1816,1727,122,209566,207984
1836,1719,104,209576,207982
1856,1725,105,209531,207971
1876,1708,112,209482,207945
1896,1719,89,209422,207938
1916,1720,95,209361,207940
1936,1725,87,209343,207925
1956,1714,76,209416,207976
1981,1725,207,209442,207978
2001,1709,191,209473,208003
2021,1703,185,209453,208036
2041,1705,154,209511,208056
2061,1703,175,209580,208078
2081,1719,159,209586,208084
2101,1719,160,209635,208134
2121,1712,145,209667,208151
2141,1719,135,209730,208170
2161,1701,115,209785,208221
2181,1707,127,209816,208258
2201,1698,126,209869,208285
2221,1703,128,209907,208333
2241,1711,108,209972,208389
2261,1703,88,210066,208448
2281,1704,92,210129,208496
2301,1704,89,210183,208507
2321,1705,74,210203,208504
2341,1704,87,210220,208498
2365,1715,208,210238,208529
2385,1713,179,210294,208527
2405,1704,184,210313,208526
2425,1725,182,210290,208524
2445,1719,163,210288,208496
2465,1713,164,210255,208471
2485,1723,151,210233,208431
2505,1727,151,210216,208444
2525,1708,144,210219,208428
2545,1721,119,210214,208408
2565,1719,114,210209,208421
2585,1723,129,210232,208416
