# 10-Minute Meditation Session (Glasses Wearable)
# Date: 2026-01-22T23:42:36.342036
# Duration: 600 seconds
# Samples: 29704
# Setup: Thermistor on glasses near nostrils
#
timestamp_ms,thermistor,piezo,ir,red
20,1597,88,200366,191828
41,1648,83,200407,191851
61,1579,85,200434,191856
81,1615,80,200479,191879
101,1596,81,200481,191900
121,1615,72,200561,191929
141,1613,81,200577,191955
161,1598,73,200610,191950
181,1612,79,200630,191970
201,1619,72,200655,192004
221,1621,83,200691,191999
241,1614,72,200669,191987
261,1639,68,200581,191950
281,1628,68,200517,191901
301,1624,77,200458,191907
321,1626,71,200457,191913
341,1645,72,200492,191983
361,1639,75,200550,192026
381,1636,70,200596,192046
401,1640,80,200627,192072
421,1634,75,200590,192058
444,1642,103,200604,192064
464,1656,100,200652,192094
484,1647,101,200687,192093
504,1644,103,200707,191999
524,1655,98,200744,192154
544,1648,92,200774,192146
564,1660,100,200811,192169
584,1645,103,200771,192151
604,1651,103,200779,192153
624,1653,99,200802,192170
644,1652,99,200823,192171
664,1656,97,200861,192187
684,1667,100,200858,192190
704,1669,101,200891,192177
724,1660,107,200888,192189
744,1660,97,200907,192178
764,1672,103,200875,192171
784,1691,88,200842,192219
804,1671,107,200813,192108
824,1687,88,200813,192107
844,1673,99,200806,192088
868,1677,132,200790,192056
888,1674,136,200756,192042
908,1676,124,200749,192028
928,1687,141,200692,192008
948,1680,124,200695,191999
968,1676,128,200728,192028
988,1689,137,200725,191989
1008,1683,124,200695,191994
1028,1682,122,200675,191968
1048,1684,141,200624,191918
1068,1688,137,200537,191861
1088,1703,144,200405,191793
1108,1696,128,200323,191745
1128,1700,143,200215,191695
1148,1709,137,200152,191673
1168,1704,130,200108,191651
1188,1715,131,200065,191641
1208,1719,133,200062,191610
1228,1719,130,200041,191584
1248,1731,129,199963,191532
1272,1724,160,199897,191520
1292,1737,168,199887,191487
1312,1732,160,199928,191510
1332,1736,159,199940,191524
1352,1745,175,199980,191537
1372,1751,155,199977,191521
1392,1749,154,199955,191497
1412,1750,150,199968,191512
1432,1767,168,199941,191503
1452,1769,168,199959,191508
1472,1776,171,199976,191508
1492,1775,152,199944,191497
1512,1783,155,199913,191469
1532,1777,159,199899,191476
1552,1792,150,199915,191452
1572,1792,155,199925,191479
1592,1803,159,199914,191460
1612,1793,159,199931,192351
1632,1785,153,199934,191454
1652,1788,160,199931,191454
1675,1799,131,199962,191457
1695,1807,123,199956,191473
1715,1815,137,199994,191458
1735,1807,128,199991,191459
1755,1823,126,200015,191490
1775,1807,139,200064,191521
1795,1817,144,200138,191548
1815,1815,131,200116,191531
1835,1823,122,200124,191536
1855,1823,140,200125,191535
1875,1815,135,200116,191526
1895,1823,136,200085,191513
1915,1824,135,200005,191477
1935,1832,126,199974,191476
1955,1823,147,199937,191456
1975,1840,132,199920,191455
1995,1822,143,199913,191460
2015,1828,128,199909,191461
2035,1831,139,199917,191459
2055,1839,124,199912,191457
2075,1853,126,199922,191472
2098,1832,112,199959,191479
2118,1853,102,199998,191512
2138,1843,112,200032,191499
2158,1835,113,200069,192165
2178,1839,115,200106,191592
2198,1834,108,200158,191595
2218,1834,107,200180,191615
2238,1895,112,200185,191619
2258,1840,107,200236,191670
2278,1840,109,200276,191684
2298,1845,109,200298,191707
2318,1845,104,200315,191702
2338,1848,103,200329,191717
2358,1851,112,200380,191770
2378,1844,104,200456,191807
2398,1859,111,200503,191835
2418,1848,119,200571,191891
2438,1851,107,200630,191917
2458,1859,115,200694,191956
2478,1869,121,200743,191958
2498,1863,112,200889,192083
2521,1863,95,200988,192144
2541,1917,92,201100,192221
2561,1861,95,201143,192249
2581,1871,95,201181,192265
2601,1867,109,201150,192255
2621,1864,99,201092,192187
2641,1861,105,201013,192155
2661,1863,103,200908,192139
2681,1879,103,200857,192093
2701,1867,107,200802,192068
2721,1856,98,200744,191997
2741,1856,92,200723,192044
2761,1879,100,200695,192022
2781,1875,96,200675,192004
2801,1868,100,200663,191994
2821,1871,105,200682,192023
2841,1862,105,200705,192059
2861,1877,100,200758,192059
2881,1852,97,200773,192066
2901,1855,101,200761,192038
2921,1855,92,200787,192039
2945,1855,93,200787,192049
2965,1838,101,200801,192055
2985,1833,89,200819,192083
3005,1826,85,200806,192038
3025,1823,87,200801,192039
3045,1812,93,200845,192079
3065,1816,79,200854,192084
3085,1821,89,200872,192087
3105,1800,87,200902,192109
3125,1799,80,200938,192125
3145,1799,76,200945,192123
3165,1795,91,200953,192128
3185,1792,72,200963,192130
3205,1785,91,200959,192114
3225,1775,87,200921,192071
3245,1764,81,200882,192083
3265,1756,73,200888,192051
3285,1753,83,200875,192059
3305,1755,72,200895,192058
3325,1740,79,200924,192049
3348,1737,97,200886,192019
3368,1726,108,200818,191996
3388,1737,98,200734,191954
3408,1731,96,200661,191908
3428,1713,100,200603,191881
3448,1731,111,200563,191859
3468,1715,92,200560,191886
3488,1703,109,200539,191863
3508,1700,107,200528,191859
3528,1695,103,200530,191857
3548,1691,98,200535,191780
3568,1687,97,200512,191856
3588,1680,95,200567,191893
3608,1676,99,200635,191925
3628,1681,107,200674,191911
3648,1680,90,200666,191936
3668,1675,104,200698,191947
3688,1660,95,200701,191909
3708,1659,99,200675,191907
3728,1677,103,200647,191871
3748,1659,95,200630,191846
3772,1675,129,200651,191868
3792,1655,133,200648,191857
3812,1644,123,200660,191768
3832,1655,124,200643,191865
3852,1643,128,200678,191852
3872,1640,133,200708,191891
3892,1649,136,200721,191889
3912,1636,120,200745,191904
3932,1643,136,200765,191924
3952,1636,131,200784,191929
3972,1644,118,200791,191926
3992,1637,127,200758,191895
4012,1628,128,200751,191897
4032,1629,124,200747,191887
4052,1628,118,200766,191917
4072,1624,118,200811,191937
4092,1620,118,200838,191939
4112,1637,118,200772,191967
4132,1618,118,200914,191985
4152,1619,120,200885,191927
4176,1625,122,200776,191901
4196,1623,143,200717,191838
4216,1619,143,200657,191841
4236,1608,132,200594,191804
4256,1612,126,200578,191812
4276,1623,139,200628,191849
4296,1607,139,200621,191839
4316,1606,136,200612,191840
4336,1622,143,200610,191856
4356,1608,134,200636,191862
4376,1600,137,200653,191801
4396,1615,145,200665,191888
4416,1613,131,200704,191910
4436,1607,128,200712,191906
4456,1606,126,200733,191905
4476,1605,135,200736,191933
4496,1596,128,200741,191911
4516,1601,135,200728,191838
4536,1601,143,200752,191922
4556,1592,135,200770,191918
4580,1590,100,200787,191929
4600,1592,95,200803,191917
4620,1592,101,200831,191948
4640,1600,96,200827,191951
4660,1611,111,200848,191932
4680,1592,98,200871,191943
4700,1588,100,200853,191936
4720,1601,99,200911,191984
4740,1611,112,200956,192014
4760,1599,103,201018,192036
4780,1592,109,201051,192058
4800,1592,103,201053,192040
4820,1612,100,201048,192021
4840,1599,107,201040,192024
4860,1596,98,201034,192016
4880,1603,99,201058,192032
4900,1600,97,201050,192037
4920,1608,90,201096,192048
4940,1605,109,200866,191929
4960,1604,98,201110,192059
4984,1619,78,201133,192093
5004,1596,81,201153,192067
5024,1600,85,201100,192049
5044,1611,87,201004,192019
5064,1609,85,200943,191972
5084,1608,79,200880,191949
5104,1620,76,200858,191946
5124,1609,89,200868,191959
5144,1610,87,200829,191929
5164,1623,95,200798,191890
5184,1631,88,200765,191864
5204,1612,85,200718,191730
5224,1629,95,200710,191811
5244,1619,95,200685,191818
5264,1619,85,200712,191817
5284,1620,83,200740,191816
5304,1629,91,200707,191822
5324,1620,79,200738,191810
5344,1631,95,200759,191824
5364,1639,85,200746,191803
5388,1631,85,200720,191805
5408,1629,84,200734,191790
5428,1647,87,200742,191785
5448,1645,80,200731,191805
5468,1647,96,200792,191824
5488,1640,93,200441,191846
5508,1638,81,200850,191822
5528,1648,83,200852,191863
5548,1659,82,200869,191878
5568,1643,87,200896,191851
5588,1640,77,200914,191889
5608,1641,78,200916,191879
5628,1657,91,200953,191889
5648,1656,93,200956,191915
5668,1660,76,200990,191914
5688,1656,91,201016,191928
5708,1663,87,201024,191930
5728,1663,95,201021,191929
5748,1655,79,201132,192018
5773,1652,116,201141,192009
5793,1669,115,201175,192025
5813,1660,127,201185,192050
5833,1666,112,201198,192031
5853,1664,118,201173,192011
5873,1687,127,201081,191974
5893,1691,125,201026,191953
5913,1685,115,200985,191941
5933,1680,128,200957,191941
5953,1693,121,200955,191952
5973,1691,126,200965,191948
5993,1703,112,200957,191966
6013,1695,112,200969,191985
6033,1707,125,200992,191958
6053,1684,115,201024,192030
6073,1695,115,201044,192052
6093,1696,110,201105,192110
6113,1688,112,201212,192182
6133,1687,119,201320,192241
