Date,Overnight HRV,Baseline,7d Avg
Feb 2,52ms,47ms - 54ms,51ms
Feb 3,54ms,47ms - 54ms,52ms
Feb 4,45ms,47ms - 54ms,50ms
Feb 5,51ms,47ms - 54ms,51ms
Feb 6,50ms,47ms - 54ms,52ms
Feb 7,45ms,47ms - 54ms,51ms
Feb 8,53ms,47ms - 54ms,50ms
Feb 9,48ms,47ms - 55ms,49ms
Feb 10,50ms,47ms - 55ms,49ms
Feb 11,50ms,47ms - 55ms,49ms
Feb 12,51ms,47ms - 55ms,49ms
Feb 13,53ms,47ms - 55ms,50ms
Feb 14,62ms,47ms - 54ms,52ms
Feb 15,46ms,47ms - 55ms,51ms
Feb 16,53ms,47ms - 54ms,52ms
Feb 17,50ms,47ms - 54ms,52ms
Feb 18,51ms,47ms - 54ms,52ms
Feb 19,45ms,47ms - 54ms,51ms
Feb 20,47ms,47ms - 54ms,50ms
Feb 21,32ms,47ms - 55ms,46ms
Feb 22,52ms,48ms - 55ms,47ms
Feb 23,47ms,47ms - 55ms,46ms
Feb 24,49ms,47ms - 55ms,46ms
Feb 25,55ms,47ms - 55ms,46ms
Feb 26,49ms,48ms - 55ms,47ms
Feb 27,53ms,47ms - 55ms,48ms
Feb 28,49ms,47ms - 56ms,51ms
Mar 1,50ms,47ms - 56ms,50ms
